*** Compte-rendu de la simulation *** 
Conditions initiales de la simulation : 
Angle initial = 90degre
Vitesse initial = 2 m/s
Taille tige = 5 m
Masse marteau = 2 kg
Coefficient de frottements = 0.025
Section Eprouvette = 5 cm*cm 
Materiau eprouvette : Bois de châtaignier de resilience : 6.0 J/cm*cm 
L'eprouvette a ete detruite ! 
temps (ms);angleRad;vitesseAngulaire 
28845;-0.4423561989521274;-0.12531219157122142
28860;-0.44418186483551353;-0.12171105889240923
28875;-0.44595339958269764;-0.11810231647894093
28890;-0.4476706954493978;-0.11448639111334251
28905;-0.4493336510940677;-0.11086370964466126
28920;-0.45094217157816446;-0.1072346989397842
28935;-0.4524961683656871;-0.1035997858348445
28950;-0.45399555932198793;-0.09995939708672084
28965;-0.45544026871185744;-0.09631395932463477
28980;-0.4568302271968852;-0.09266389900185094
28995;-0.4581653718320975;-0.08900964234748529
29010;-0.4594456460618739;-0.08535161531842586
29025;-0.46067099971514447;-0.08169024355137143
29040;-0.4618413889998694;-0.07802595231499262
29055;-0.46295677649680267;-0.07435916646222047
29070;-0.4640171311525427;-0.07069031038266715
29085;-0.4650224282718704;-0.0670198079551838
29100;-0.4659726495093788;-0.06334808250056012
29115;-0.4668677828603943;-0.059675556734370694
29130;-0.4677078226511939;-0.056002652719972464
29145;-0.4684927695285188;-0.05232979182165839
29160;-0.4692226304483884;-0.04865739465797179
29175;-0.4698974186642162;-0.04498588105518614
29190;-0.47051715371423053;-0.04131567000095493
29205;-0.4710818614082026;-0.037647179598136196
29220;-0.47159157381348454;-0.0339808270187964
29235;-0.4720463292403605;-0.030317028458398156
29250;-0.47244617222671315;-0.0266561990901764
29265;-0.47279115352200873;-0.022998753019707566
29280;-0.4730813300706039;-0.019345103239676205
29295;-0.4733167649943765;-0.015695661584843604
29310;-0.4734975275746849;-0.012050838687222823
29325;-0.47362369323365683;-0.008411043931464619
29340;-0.4736953435148137;-0.0047766854104586386
29355;-0.47371256606303097;-0.0011481698811543054
29370;-0.47367545460384003;0.002474097279394269
29385;-0.4735841089220737;0.006089712117754975
29400;-0.47343863483985954;0.009698272147611708
29415;-0.47323914419396423;0.013299376393021381
29430;-0.4729857548124928;0.016892625431429678
29445;-0.4726785904909462;0.020477621436441325
29460;-0.4723177809676411;0.024053968220340644
29475;-0.47190346189849575;0.027621271276358213
29490;-0.47143577483118554;0.031179137820679482
29505;-0.47091486717867265;0.03472717683419117
29520;-0.4703408921921132;0.0382649991039614
29535;-0.46971400893314647;0.04179221726444942
29550;-0.46903438224556987;0.045308445838440896
29565;-0.4683021827264043;0.04881330127770475
29580;-0.4675175866963538;0.05230640200336753
29595;-0.46668077616966375;0.055787368446001344
29610;-0.46579193882338243;0.05925582308542142
29625;-0.4648512679660296;0.06271139049018938
29640;-0.4638589625056773;0.06615369735681832
29655;-0.4628152269174472;0.06958237254867591
29670;-0.46172027121042847;0.07299704713458156
29685;-0.46057431089402207;0.07639735442709399
29700;-0.4593775669437148;0.07978293002048535
29715;-0.4581302657662888;0.08315341182839824
29730;-0.4568326391644711;0.08650844012118178
29745;-0.45548492430102755;0.08984765756290322
29760;-0.45408736366230706;0.09317070924803139
29775;-0.45264020502124025;0.09647724273778828
29790;-0.45114370139979776;0.09976690809616535
29805;-0.44959811103091374;0.10303935792560094
29820;-0.448003697319879;0.10629424740231518
29835;-0.4463607288052095;0.10953123431129909
29850;-0.4446694791189952;0.11274997908095441
29865;-0.44293022694673445;0.11595014481738054
29880;-0.4411432559866599;0.11913139733830552
29895;-0.43930885490856003;0.12229340520665746
29910;-0.43742731731210344;0.12543583976377332
29925;-0.4354989416846698;0.1285583751622416
29940;-0.43352403135869416;0.1316606883983759
29955;-0.4315028944685294;0.134742459344316
29970;-0.4294358439068331;0.13780337077975324
29985;-0.42732319728048396;0.14084310842327752
30000;-0.42516527686603384;0.14386136096334226
30015;-0.42296240956470116;0.14685782008884468
30030;-0.42071492685691136;0.14983218051931832
30045;-0.41842316475639035;0.1527841400347347
30060;-0.41608746376381667;0.15571339950491145
30075;-0.4137081688200388;0.15861966291852386
30090;-0.41128562925886303;0.16150263741171705
30105;-0.4088201987594183;0.16436203329631602
30120;-0.4063122352981038;0.16719756408763073
30135;-0.403762101100126;0.1700089465318537
30150;-0.4011701625906303;0.17279590063304728
30165;-0.39853679034543454;0.17555814967971808
30180;-0.3958623590413699;0.17829542027097592
30195;-0.3931472474062358;0.18100744234227484
30210;-0.3903918381683748;0.1836939491907337
30225;-0.3875965180058743;0.18635467750003387
30240;-0.3847616774954009;0.1889893673648916
30255;-0.3818877110606744;0.191597762315103
30270;-0.378975016920587;0.19417960933915884
30285;-0.3760239970369756;0.19673465890742753
30300;-0.37303505706205203;0.19926266499490353
